incident_type,urgency,location_desc,details,hazards,people,hour,is_weekend,police,ambulance,bomba
Crime,3,"Street 90, near the Highway",Break-in,Aggressive behavior,Suspect and 1 witnesses,15,1,4,1,1
Accident,1,"Street 356, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,23,0,1,2,0
Accident,3,"Street 407, near the Highway",General emergency reported,Unknown,Multiple bystanders,23,1,2,3,1
Other,1,"Street 154, near the Forest",General emergency reported,Unknown,Multiple bystanders,12,0,0,0,0
Medical,2,"Street 345, near the Residential Area",Unconscious person,None,1 person involved,3,0,0,3,1
Crime,5,"Street 364, near the Forest",Break-in,Aggressive behavior,Suspect and 1 witnesses,11,0,5,2,3
Medical,4,"Street 315, near the Residential Area",Unconscious person,None,1 person involved,10,0,1,4,2
Medical,2,"Street 219, near the Residential Area",Cardiac arrest,None,1 person involved,8,1,0,3,1
Accident,5,"Street 346, near the City Center",General emergency reported,Unknown,Multiple bystanders,11,1,3,4,3
Accident,4,"Street 252, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,6,1,2,3,2
Accident,2,"Street 454, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,16,0,1,2,1
Fire,1,"Street 358, near the Residential Area",Small kitchen fire,Chemical smell,1 people evacuated,3,0,0,0,4
Crime,1,"Street 383, near the City Center",Break-in,None,Suspect and 1 witnesses,19,0,3,0,0
Medical,1,"Street 189, near the Highway",Allergic reaction,None,1 person involved,2,1,0,2,0
Other,2,"Street 496, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,18,0,0,1,1
Other,5,"Street 154, near the Forest",General emergency reported,Unknown,Multiple bystanders,21,1,2,2,3
Accident,4,"Street 247, near the Forest",General emergency reported,Unknown,Multiple bystanders,2,0,2,3,2
Medical,1,"Street 464, near the Forest",Unconscious person,None,1 person involved,7,0,0,2,0
Crime,3,"Street 42, near the Highway",Break-in,Aggressive behavior,Suspect and 2 witnesses,4,1,4,1,1
Crime,5,"Street 414, near the Forest",Break-in,Weapons sighted,Suspect and 1 witnesses,9,1,5,2,3
Fire,2,"Street 176, near the Highway",Small kitchen fire,Explosion risk,9 people evacuated,2,0,0,1,5
Medical,1,"Street 141, near the City Center",Allergic reaction,None,1 person involved,9,0,0,2,0
Other,3,"Street 125, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,13,0,1,1,1
Medical,5,"Street 211, near the Industrial Zone",Unconscious person,None,1 person involved,20,1,2,4,3
Medical,5,"Street 226, near the Forest",Cardiac arrest,None,1 person involved,0,0,2,4,3
Crime,2,"Street 459, near the Residential Area",Public disturbance,None,Suspect and 2 witnesses,10,1,3,1,1
Medical,4,"Street 235, near the Forest",Unconscious person,None,1 person involved,0,1,1,4,2
Medical,3,"Street 283, near the Residential Area",Unconscious person,None,1 person involved,3,0,1,3,1
Fire,1,"Street 371, near the Forest",Spreading to trees,Chemical smell,7 people evacuated,9,0,0,0,4
Crime,3,"Street 188, near the Highway",Break-in,None,Suspect and 1 witnesses,22,1,4,1,1
Crime,5,"Street 308, near the Industrial Zone",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,16,1,5,2,3
Fire,4,"Street 108, near the Residential Area",Building engulfed,Explosion risk,6 people evacuated,0,0,1,2,6
Fire,2,"Street 336, near the Industrial Zone",Small kitchen fire,Explosion risk,6 people evacuated,1,1,0,1,5
Medical,1,"Street 137, near the City Center",Unconscious person,None,1 person involved,15,1,0,2,0
Fire,2,"Street 207, near the Forest",Spreading to trees,Thick smoke,6 people evacuated,19,1,0,1,5
Accident,1,"Street 296, near the City Center",General emergency reported,Unknown,Multiple bystanders,2,1,1,2,0
Fire,3,"Street 65, near the Highway",Building engulfed,Thick smoke,9 people evacuated,4,1,1,1,5
Medical,1,"Street 236, near the Forest",Cardiac arrest,None,1 person involved,10,0,0,2,0
Other,4,"Street 5, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,15,1,1,2,2
Other,1,"Street 422, near the Highway",General emergency reported,Unknown,Multiple bystanders,6,0,0,0,0
Fire,1,"Street 330, near the City Center",Spreading to trees,Thick smoke,8 people evacuated,19,0,0,0,4
Accident,4,"Street 360, near the City Center",General emergency reported,Unknown,Multiple bystanders,8,0,2,3,2
Other,4,"Street 386, near the Forest",General emergency reported,Unknown,Multiple bystanders,7,0,1,2,2
Accident,3,"Street 138, near the Highway",General emergency reported,Unknown,Multiple bystanders,10,0,2,3,1
Accident,1,"Street 19, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,4,0,1,2,0
Accident,2,"Street 171, near the Highway",General emergency reported,Unknown,Multiple bystanders,17,1,1,2,1
Fire,1,"Street 252, near the Industrial Zone",Spreading to trees,Explosion risk,5 people evacuated,2,1,0,0,4
Medical,2,"Street 175, near the City Center",Cardiac arrest,None,1 person involved,22,1,0,3,1
Fire,1,"Street 264, near the City Center",Building engulfed,Explosion risk,3 people evacuated,0,1,0,0,4
Crime,5,"Street 42, near the Residential Area",Public disturbance,None,Suspect and 2 witnesses,6,1,5,2,3
Crime,4,"Street 392, near the Industrial Zone",Public disturbance,None,Suspect and 1 witnesses,21,0,4,2,2
Medical,4,"Street 384, near the City Center",Cardiac arrest,None,1 person involved,3,1,1,4,2
Crime,5,"Street 289, near the Residential Area",Break-in,Weapons sighted,Suspect and 2 witnesses,21,0,5,2,3
Fire,3,"Street 311, near the Residential Area",Spreading to trees,Chemical smell,3 people evacuated,22,0,1,1,5
Fire,5,"Street 468, near the Industrial Zone",Spreading to trees,Thick smoke,4 people evacuated,18,1,2,2,7
Medical,3,"Street 452, near the Residential Area",Allergic reaction,None,1 person involved,16,1,1,3,1
Medical,2,"Street 178, near the City Center",Cardiac arrest,None,1 person involved,1,1,0,3,1
Crime,3,"Street 449, near the Residential Area",Break-in,Weapons sighted,Suspect and 2 witnesses,6,0,4,1,1
Crime,2,"Street 322, near the Industrial Zone",Break-in,Weapons sighted,Suspect and 2 witnesses,4,0,3,1,1
Other,1,"Street 234, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,21,0,0,0,0
Accident,3,"Street 4, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,20,1,2,3,1
Medical,4,"Street 315, near the Residential Area",Unconscious person,None,1 person involved,21,1,1,4,2
Medical,2,"Street 201, near the City Center",Cardiac arrest,None,1 person involved,0,1,0,3,1
Fire,5,"Street 9, near the City Center",Building engulfed,Thick smoke,4 people evacuated,16,0,2,2,7
Accident,5,"Street 329, near the Highway",General emergency reported,Unknown,Multiple bystanders,17,1,3,4,3
Other,4,"Street 175, near the Forest",General emergency reported,Unknown,Multiple bystanders,15,0,1,2,2
Crime,5,"Street 173, near the Residential Area",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,5,0,5,2,3
Fire,2,"Street 279, near the Industrial Zone",Small kitchen fire,Thick smoke,3 people evacuated,5,0,0,1,5
Crime,1,"Street 73, near the Industrial Zone",Break-in,Aggressive behavior,Suspect and 2 witnesses,22,0,3,0,0
Fire,4,"Street 191, near the City Center",Small kitchen fire,Chemical smell,7 people evacuated,3,1,1,2,6
Medical,2,"Street 435, near the Industrial Zone",Cardiac arrest,None,1 person involved,9,0,0,3,1
Other,1,"Street 235, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,20,0,0,0,0
Accident,3,"Street 457, near the Highway",General emergency reported,Unknown,Multiple bystanders,23,0,2,3,1
Accident,5,"Street 33, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,18,0,3,4,3
Medical,1,"Street 236, near the City Center",Allergic reaction,None,1 person involved,20,0,0,2,0
Accident,3,"Street 123, near the Forest",General emergency reported,Unknown,Multiple bystanders,12,1,2,3,1
Crime,1,"Street 121, near the Residential Area",Armed robbery in progress,None,Suspect and 1 witnesses,4,0,3,0,0
Medical,5,"Street 343, near the Residential Area",Cardiac arrest,None,1 person involved,17,0,2,4,3
Other,4,"Street 256, near the Highway",General emergency reported,Unknown,Multiple bystanders,15,1,1,2,2
Fire,3,"Street 481, near the Residential Area",Building engulfed,Chemical smell,5 people evacuated,0,0,1,1,5
Crime,2,"Street 43, near the Forest",Public disturbance,None,Suspect and 1 witnesses,17,1,3,1,1
Crime,3,"Street 270, near the City Center",Break-in,None,Suspect and 2 witnesses,3,0,4,1,1
Accident,2,"Street 64, near the Highway",General emergency reported,Unknown,Multiple bystanders,21,1,1,2,1
Medical,3,"Street 98, near the Highway",Unconscious person,None,1 person involved,18,0,1,3,1
Crime,5,"Street 223, near the Forest",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,14,1,5,2,3
Medical,5,"Street 107, near the Residential Area",Allergic reaction,None,1 person involved,3,0,2,4,3
Accident,4,"Street 208, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,21,1,2,3,2
Medical,2,"Street 220, near the City Center",Unconscious person,None,1 person involved,12,1,0,3,1
Medical,3,"Street 134, near the City Center",Allergic reaction,None,1 person involved,10,0,1,3,1
Crime,5,"Street 35, near the Highway",Break-in,None,Suspect and 2 witnesses,10,1,5,2,3
Other,3,"Street 457, near the Highway",General emergency reported,Unknown,Multiple bystanders,0,0,1,1,1
Crime,4,"Street 365, near the Highway",Break-in,None,Suspect and 1 witnesses,22,1,4,2,2
Accident,3,"Street 363, near the City Center",General emergency reported,Unknown,Multiple bystanders,10,1,2,3,1
Crime,4,"Street 269, near the City Center",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,14,0,4,2,2
Crime,2,"Street 287, near the Industrial Zone",Public disturbance,None,Suspect and 1 witnesses,22,0,3,1,1
Crime,3,"Street 173, near the Residential Area",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,7,1,4,1,1
Fire,2,"Street 166, near the Highway",Spreading to trees,Thick smoke,1 people evacuated,15,1,0,1,5
Medical,2,"Street 56, near the Forest",Unconscious person,None,1 person involved,14,1,0,3,1
Fire,2,"Street 492, near the Residential Area",Spreading to trees,Explosion risk,2 people evacuated,15,0,0,1,5
Crime,2,"Street 259, near the Forest",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,7,0,3,1,1
Medical,4,"Street 446, near the Residential Area",Unconscious person,None,1 person involved,6,1,1,4,2
Other,2,"Street 296, near the Highway",General emergency reported,Unknown,Multiple bystanders,7,1,0,1,1
Other,2,"Street 38, near the Forest",General emergency reported,Unknown,Multiple bystanders,20,0,0,1,1
Crime,5,"Street 470, near the Industrial Zone",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,6,0,5,2,3
Other,3,"Street 287, near the City Center",General emergency reported,Unknown,Multiple bystanders,13,1,1,1,1
Crime,5,"Street 210, near the Residential Area",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,23,1,5,2,3
Other,2,"Street 494, near the Forest",General emergency reported,Unknown,Multiple bystanders,17,0,0,1,1
Medical,5,"Street 119, near the Highway",Cardiac arrest,None,1 person involved,7,1,2,4,3
Accident,3,"Street 22, near the Highway",General emergency reported,Unknown,Multiple bystanders,13,1,2,3,1
Accident,1,"Street 430, near the Forest",General emergency reported,Unknown,Multiple bystanders,18,0,1,2,0
Medical,4,"Street 395, near the Residential Area",Allergic reaction,None,1 person involved,10,0,1,4,2
Medical,2,"Street 263, near the Forest",Allergic reaction,None,1 person involved,8,0,0,3,1
Other,1,"Street 374, near the Highway",General emergency reported,Unknown,Multiple bystanders,17,0,0,0,0
Medical,1,"Street 440, near the Residential Area",Allergic reaction,None,1 person involved,18,1,0,2,0
Accident,2,"Street 27, near the Forest",General emergency reported,Unknown,Multiple bystanders,17,1,1,2,1
Crime,4,"Street 17, near the City Center",Armed robbery in progress,None,Suspect and 2 witnesses,3,1,4,2,2
Other,2,"Street 183, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,14,0,0,1,1
Other,1,"Street 180, near the Forest",General emergency reported,Unknown,Multiple bystanders,22,1,0,0,0
Medical,2,"Street 400, near the Forest",Cardiac arrest,None,1 person involved,5,1,0,3,1
Other,3,"Street 163, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,4,1,1,1,1
Crime,5,"Street 490, near the City Center",Public disturbance,None,Suspect and 2 witnesses,19,0,5,2,3
Other,2,"Street 132, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,12,1,0,1,1
Fire,5,"Street 216, near the Highway",Spreading to trees,Explosion risk,3 people evacuated,0,1,2,2,7
Other,4,"Street 443, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,10,0,1,2,2
Accident,1,"Street 276, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,7,0,1,2,0
Fire,3,"Street 328, near the Highway",Small kitchen fire,Chemical smell,5 people evacuated,7,0,1,1,5
Other,4,"Street 274, near the City Center",General emergency reported,Unknown,Multiple bystanders,2,0,1,2,2
Medical,2,"Street 194, near the Forest",Allergic reaction,None,1 person involved,14,1,0,3,1
Fire,2,"Street 422, near the Forest",Building engulfed,Chemical smell,3 people evacuated,13,0,0,1,5
Accident,3,"Street 190, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,22,0,2,3,1
Other,3,"Street 394, near the Forest",General emergency reported,Unknown,Multiple bystanders,23,0,1,1,1
Fire,1,"Street 271, near the Residential Area",Building engulfed,Thick smoke,8 people evacuated,19,1,0,0,4
Accident,1,"Street 106, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,19,0,1,2,0
Medical,3,"Street 15, near the City Center",Allergic reaction,None,1 person involved,1,1,1,3,1
Crime,2,"Street 46, near the Industrial Zone",Break-in,Weapons sighted,Suspect and 1 witnesses,1,1,3,1,1
Medical,1,"Street 49, near the Highway",Allergic reaction,None,1 person involved,16,1,0,2,0
Fire,5,"Street 207, near the Forest",Spreading to trees,Chemical smell,6 people evacuated,22,1,2,2,7
Crime,3,"Street 217, near the Residential Area",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,15,0,4,1,1
Accident,5,"Street 377, near the Forest",General emergency reported,Unknown,Multiple bystanders,9,0,3,4,3
Crime,5,"Street 411, near the City Center",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,22,0,5,2,3
Fire,4,"Street 496, near the Highway",Small kitchen fire,Explosion risk,4 people evacuated,3,0,1,2,6
Fire,3,"Street 393, near the Forest",Building engulfed,Chemical smell,1 people evacuated,12,1,1,1,5
Fire,3,"Street 33, near the Forest",Small kitchen fire,Thick smoke,6 people evacuated,16,0,1,1,5
Accident,3,"Street 153, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,6,0,2,3,1
Fire,4,"Street 432, near the Industrial Zone",Small kitchen fire,Explosion risk,4 people evacuated,6,0,1,2,6
Accident,2,"Street 176, near the City Center",General emergency reported,Unknown,Multiple bystanders,2,0,1,2,1
Accident,2,"Street 264, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,9,1,1,2,1
Fire,1,"Street 369, near the Highway",Small kitchen fire,Chemical smell,3 people evacuated,3,1,0,0,4
Accident,5,"Street 494, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,9,0,3,4,3
Other,1,"Street 392, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,21,1,0,0,0
Accident,4,"Street 111, near the Forest",General emergency reported,Unknown,Multiple bystanders,9,0,2,3,2
Medical,3,"Street 77, near the Residential Area",Allergic reaction,None,1 person involved,20,0,1,3,1
Fire,4,"Street 296, near the Highway",Building engulfed,Thick smoke,1 people evacuated,21,0,1,2,6
Other,4,"Street 384, near the City Center",General emergency reported,Unknown,Multiple bystanders,0,0,1,2,2
Fire,5,"Street 67, near the Forest",Spreading to trees,Explosion risk,1 people evacuated,15,1,2,2,7
Crime,3,"Street 430, near the Residential Area",Public disturbance,None,Suspect and 2 witnesses,2,0,4,1,1
Accident,3,"Street 439, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,23,1,2,3,1
Medical,1,"Street 242, near the Residential Area",Cardiac arrest,None,1 person involved,14,1,0,2,0
Fire,1,"Street 231, near the Industrial Zone",Spreading to trees,Explosion risk,6 people evacuated,4,0,0,0,4
Other,4,"Street 309, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,5,1,1,2,2
Medical,1,"Street 201, near the Industrial Zone",Allergic reaction,None,1 person involved,9,0,0,2,0
Accident,5,"Street 72, near the Highway",General emergency reported,Unknown,Multiple bystanders,6,0,3,4,3
Accident,2,"Street 174, near the Highway",General emergency reported,Unknown,Multiple bystanders,8,1,1,2,1
Other,5,"Street 392, near the Highway",General emergency reported,Unknown,Multiple bystanders,3,0,2,2,3
Crime,1,"Street 489, near the Industrial Zone",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,3,1,3,0,0
Fire,4,"Street 154, near the City Center",Small kitchen fire,Chemical smell,3 people evacuated,22,1,1,2,6
Fire,4,"Street 311, near the Industrial Zone",Spreading to trees,Explosion risk,2 people evacuated,2,1,1,2,6
Other,3,"Street 237, near the City Center",General emergency reported,Unknown,Multiple bystanders,16,1,1,1,1
Medical,4,"Street 429, near the Industrial Zone",Cardiac arrest,None,1 person involved,7,1,1,4,2
Medical,2,"Street 96, near the Highway",Unconscious person,None,1 person involved,14,1,0,3,1
Fire,5,"Street 178, near the Residential Area",Small kitchen fire,Chemical smell,9 people evacuated,0,0,2,2,7
Fire,4,"Street 231, near the Highway",Building engulfed,Explosion risk,9 people evacuated,17,1,1,2,6
Crime,2,"Street 353, near the Residential Area",Armed robbery in progress,None,Suspect and 1 witnesses,21,0,3,1,1
Crime,1,"Street 252, near the Industrial Zone",Public disturbance,None,Suspect and 2 witnesses,13,0,3,0,0
Other,2,"Street 451, near the Highway",General emergency reported,Unknown,Multiple bystanders,2,0,0,1,1
Accident,4,"Street 140, near the City Center",General emergency reported,Unknown,Multiple bystanders,20,0,2,3,2
Accident,3,"Street 64, near the Forest",General emergency reported,Unknown,Multiple bystanders,1,1,2,3,1
Fire,5,"Street 438, near the Industrial Zone",Building engulfed,Explosion risk,5 people evacuated,2,1,2,2,7
Fire,5,"Street 330, near the Highway",Spreading to trees,Thick smoke,4 people evacuated,8,1,2,2,7
Crime,5,"Street 196, near the Highway",Armed robbery in progress,None,Suspect and 1 witnesses,11,1,5,2,3
Other,1,"Street 101, near the City Center",General emergency reported,Unknown,Multiple bystanders,0,1,0,0,0
Fire,2,"Street 41, near the Forest",Spreading to trees,Thick smoke,3 people evacuated,1,1,0,1,5
Medical,5,"Street 238, near the Residential Area",Allergic reaction,None,1 person involved,13,0,2,4,3
Fire,3,"Street 384, near the Residential Area",Building engulfed,Explosion risk,3 people evacuated,6,0,1,1,5
Medical,4,"Street 7, near the Highway",Cardiac arrest,None,1 person involved,5,0,1,4,2
Crime,3,"Street 44, near the Highway",Armed robbery in progress,None,Suspect and 2 witnesses,10,1,4,1,1
Accident,3,"Street 198, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,13,1,2,3,1
Crime,1,"Street 279, near the Forest",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,2,0,3,0,0
Crime,4,"Street 85, near the Industrial Zone",Public disturbance,Weapons sighted,Suspect and 2 witnesses,2,0,4,2,2
Accident,4,"Street 451, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,12,1,2,3,2
Accident,4,"Street 62, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,3,0,2,3,2
Fire,1,"Street 145, near the Forest",Spreading to trees,Chemical smell,8 people evacuated,21,1,0,0,4
Accident,4,"Street 63, near the Highway",General emergency reported,Unknown,Multiple bystanders,3,0,2,3,2
Medical,2,"Street 29, near the Residential Area",Allergic reaction,None,1 person involved,21,1,0,3,1
Other,1,"Street 28, near the City Center",General emergency reported,Unknown,Multiple bystanders,20,1,0,0,0
Other,1,"Street 79, near the Highway",General emergency reported,Unknown,Multiple bystanders,4,1,0,0,0
Crime,4,"Street 402, near the Industrial Zone",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,11,0,4,2,2
Crime,4,"Street 479, near the Highway",Break-in,Weapons sighted,Suspect and 1 witnesses,18,0,4,2,2
Medical,4,"Street 389, near the City Center",Unconscious person,None,1 person involved,9,0,1,4,2
Crime,5,"Street 453, near the Industrial Zone",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,22,0,5,2,3
Crime,2,"Street 387, near the Forest",Break-in,None,Suspect and 2 witnesses,13,1,3,1,1
Crime,3,"Street 238, near the Forest",Armed robbery in progress,None,Suspect and 1 witnesses,7,1,4,1,1
Crime,3,"Street 29, near the City Center",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,12,1,4,1,1
Accident,2,"Street 19, near the Forest",General emergency reported,Unknown,Multiple bystanders,13,1,1,2,1
Crime,3,"Street 8, near the Industrial Zone",Break-in,Weapons sighted,Suspect and 2 witnesses,2,0,4,1,1
Accident,1,"Street 145, near the Forest",General emergency reported,Unknown,Multiple bystanders,15,1,1,2,0
Other,3,"Street 379, near the City Center",General emergency reported,Unknown,Multiple bystanders,22,0,1,1,1
Accident,2,"Street 238, near the Highway",General emergency reported,Unknown,Multiple bystanders,21,1,1,2,1
Fire,1,"Street 469, near the Forest",Building engulfed,Chemical smell,7 people evacuated,10,0,0,0,4
Medical,5,"Street 104, near the Industrial Zone",Cardiac arrest,None,1 person involved,11,1,2,4,3
Accident,1,"Street 78, near the City Center",General emergency reported,Unknown,Multiple bystanders,15,0,1,2,0
Accident,5,"Street 333, near the City Center",General emergency reported,Unknown,Multiple bystanders,3,1,3,4,3
Fire,2,"Street 65, near the Residential Area",Small kitchen fire,Thick smoke,7 people evacuated,9,1,0,1,5
Fire,4,"Street 225, near the Industrial Zone",Building engulfed,Chemical smell,7 people evacuated,22,1,1,2,6
Accident,4,"Street 118, near the City Center",General emergency reported,Unknown,Multiple bystanders,5,1,2,3,2
Fire,1,"Street 104, near the Residential Area",Building engulfed,Explosion risk,8 people evacuated,20,0,0,0,4
Fire,4,"Street 268, near the Highway",Building engulfed,Thick smoke,5 people evacuated,22,1,1,2,6
Medical,4,"Street 238, near the Industrial Zone",Allergic reaction,None,1 person involved,3,1,1,4,2
Other,1,"Street 477, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,8,1,0,0,0
Crime,2,"Street 95, near the City Center",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,15,0,3,1,1
Accident,1,"Street 409, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,2,0,1,2,0
Medical,3,"Street 143, near the Highway",Allergic reaction,None,1 person involved,5,1,1,3,1
Medical,3,"Street 410, near the City Center",Unconscious person,None,1 person involved,13,0,1,3,1
Accident,3,"Street 308, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,19,1,2,3,1
Medical,3,"Street 207, near the Highway",Allergic reaction,None,1 person involved,17,1,1,3,1
Other,3,"Street 208, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,9,0,1,1,1
Crime,1,"Street 425, near the Industrial Zone",Break-in,None,Suspect and 2 witnesses,1,0,3,0,0
Crime,4,"Street 104, near the Highway",Break-in,Aggressive behavior,Suspect and 2 witnesses,9,0,4,2,2
Crime,3,"Street 41, near the Residential Area",Break-in,None,Suspect and 2 witnesses,2,1,4,1,1
Fire,5,"Street 411, near the Residential Area",Small kitchen fire,Chemical smell,3 people evacuated,23,0,2,2,7
Fire,4,"Street 246, near the Forest",Small kitchen fire,Thick smoke,1 people evacuated,0,1,1,2,6
Accident,3,"Street 482, near the Forest",General emergency reported,Unknown,Multiple bystanders,0,1,2,3,1
Fire,1,"Street 350, near the Industrial Zone",Small kitchen fire,Chemical smell,7 people evacuated,14,0,0,0,4
Medical,5,"Street 358, near the Forest",Allergic reaction,None,1 person involved,18,0,2,4,3
Crime,3,"Street 487, near the Industrial Zone",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,14,0,4,1,1
Accident,1,"Street 180, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,20,1,1,2,0
Crime,4,"Street 224, near the Residential Area",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,8,1,4,2,2
Crime,2,"Street 169, near the Forest",Break-in,None,Suspect and 2 witnesses,18,0,3,1,1
Other,4,"Street 165, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,11,0,1,2,2
Fire,5,"Street 140, near the Residential Area",Small kitchen fire,Thick smoke,7 people evacuated,16,1,2,2,7
Other,4,"Street 495, near the Highway",General emergency reported,Unknown,Multiple bystanders,6,0,1,2,2
Crime,4,"Street 103, near the Forest",Public disturbance,Weapons sighted,Suspect and 2 witnesses,2,1,4,2,2
Other,5,"Street 51, near the City Center",General emergency reported,Unknown,Multiple bystanders,15,0,2,2,3
Other,2,"Street 125, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,8,0,0,1,1
Fire,3,"Street 286, near the Highway",Small kitchen fire,Chemical smell,9 people evacuated,18,1,1,1,5
Other,5,"Street 136, near the City Center",General emergency reported,Unknown,Multiple bystanders,19,0,2,2,3
Medical,1,"Street 96, near the Highway",Allergic reaction,None,1 person involved,13,0,0,2,0
Fire,3,"Street 110, near the Industrial Zone",Spreading to trees,Explosion risk,2 people evacuated,9,0,1,1,5
Other,3,"Street 433, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,19,0,1,1,1
Crime,5,"Street 442, near the City Center",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,10,0,5,2,3
Fire,1,"Street 431, near the City Center",Spreading to trees,Chemical smell,3 people evacuated,2,0,0,0,4
Accident,3,"Street 294, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,2,0,2,3,1
Accident,4,"Street 327, near the Forest",General emergency reported,Unknown,Multiple bystanders,16,0,2,3,2
Accident,1,"Street 90, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,13,1,1,2,0
Other,3,"Street 136, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,11,1,1,1,1
Accident,4,"Street 283, near the Forest",General emergency reported,Unknown,Multiple bystanders,8,1,2,3,2
Crime,4,"Street 334, near the Forest",Break-in,None,Suspect and 1 witnesses,18,1,4,2,2
Medical,4,"Street 58, near the Industrial Zone",Unconscious person,None,1 person involved,9,0,1,4,2
Fire,3,"Street 484, near the Forest",Small kitchen fire,Explosion risk,7 people evacuated,19,0,1,1,5
Other,5,"Street 39, near the Forest",General emergency reported,Unknown,Multiple bystanders,21,1,2,2,3
Accident,5,"Street 306, near the Forest",General emergency reported,Unknown,Multiple bystanders,11,0,3,4,3
Accident,2,"Street 470, near the Highway",General emergency reported,Unknown,Multiple bystanders,18,1,1,2,1
Fire,4,"Street 263, near the City Center",Building engulfed,Chemical smell,4 people evacuated,13,0,1,2,6
Medical,1,"Street 64, near the Forest",Cardiac arrest,None,1 person involved,17,1,0,2,0
Crime,1,"Street 79, near the Forest",Break-in,Weapons sighted,Suspect and 1 witnesses,0,1,3,0,0
Fire,2,"Street 23, near the Forest",Small kitchen fire,Explosion risk,8 people evacuated,12,1,0,1,5
Medical,5,"Street 467, near the Forest",Unconscious person,None,1 person involved,15,1,2,4,3
Crime,4,"Street 202, near the Forest",Public disturbance,Weapons sighted,Suspect and 2 witnesses,18,1,4,2,2
Medical,1,"Street 138, near the Highway",Unconscious person,None,1 person involved,17,0,0,2,0
Accident,3,"Street 451, near the Forest",General emergency reported,Unknown,Multiple bystanders,0,1,2,3,1
Crime,3,"Street 328, near the Industrial Zone",Public disturbance,None,Suspect and 1 witnesses,21,1,4,1,1
Accident,5,"Street 293, near the Highway",General emergency reported,Unknown,Multiple bystanders,2,1,3,4,3
Accident,3,"Street 248, near the Forest",General emergency reported,Unknown,Multiple bystanders,2,1,2,3,1
Medical,1,"Street 413, near the Industrial Zone",Allergic reaction,None,1 person involved,10,1,0,2,0
Medical,3,"Street 72, near the Forest",Unconscious person,None,1 person involved,23,1,1,3,1
Other,1,"Street 324, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,22,0,0,0,0
